id,img_path,img_name,generation_date,experiment_model_id,experiment_number,img_generation_promt
248430,"/media/s1/dataset/neurostocker/core/2022/12/14/6_a_painting,_sketch_or_pencil_drawing_of_a_cat_made_of_a_large_amount_of_red_ink..jpg","6_a_painting,_sketch_or_pencil_drawing_of_a_cat_made_of_a_large_amount_of_red_ink..jpg",2022-12-14T23:01:11.924645,1,1,"6_a_painting,_sketch_or_pencil_drawing_of_a_cat_made_of_a_large_amount_of_red_ink."
229619,/media/s1/dataset/neurostocker/core/2022/12/14/6_Creative_urban_style_in_the_south_side_of_france..jpg,6_Creative_urban_style_in_the_south_side_of_france..jpg,2022-12-14T00:55:39.087447,1,1,6_Creative_urban_style_in_the_south_side_of_france.
137065,"/media/s1/dataset/neurostocker/core/2022/12/9/6_A_lovely,_yet_complex,_oil_painting_of_an_early_19th_century_painting_factory..jpg","6_A_lovely,_yet_complex,_oil_painting_of_an_early_19th_century_painting_factory..jpg",2022-12-09T00:46:05.830790,1,1,"6_A_lovely,_yet_complex,_oil_painting_of_an_early_19th_century_painting_factory."
163838,/media/s1/dataset/neurostocker/core/2022/12/10/6_Beautiful_sunset_over_the_ocean_and_the_beautiful_house..jpg,6_Beautiful_sunset_over_the_ocean_and_the_beautiful_house..jpg,2022-12-10T00:09:19.053999,1,1,6_Beautiful_sunset_over_the_ocean_and_the_beautiful_house.
109984,/media/s1/dataset/neurostocker/core/2022/12/7/6_A_picture_of_a_forest_in_a_city_near_the_ocean..jpg,6_A_picture_of_a_forest_in_a_city_near_the_ocean..jpg,2022-12-07T00:57:27.466723,1,1,6_A_picture_of_a_forest_in_a_city_near_the_ocean.
17269,"/media/s1/dataset/neurostocker/core/2022/11/27/6_People_sitting_on_a_terraced_city_street,_smiling,_talking_amongst_them..jpg","6_People_sitting_on_a_terraced_city_street,_smiling,_talking_amongst_them..jpg",2022-11-27T00:56:55.767881,1,1,"6_People_sitting_on_a_terraced_city_street,_smiling,_talking_amongst_them."
114159,/media/s1/dataset/neurostocker/core/2022/12/7/6_A_cartoon_character_of_the_dog_is_painted_on_the_wall..jpg,6_A_cartoon_character_of_the_dog_is_painted_on_the_wall..jpg,2022-12-07T22:02:39.376637,1,1,6_A_cartoon_character_of_the_dog_is_painted_on_the_wall.
212612,/media/s1/dataset/neurostocker/core/2022/12/14/6_A_glass_sphere_made_of_thousands_of_colorful_mirrors_that_reflect_the_light_from_the_sky..jpg,6_A_glass_sphere_made_of_thousands_of_colorful_mirrors_that_reflect_the_light_from_the_sky..jpg,2022-12-14T00:55:04.591261,1,1,6_A_glass_sphere_made_of_thousands_of_colorful_mirrors_that_reflect_the_light_from_the_sky.
3229,"/media/s1/dataset/neurostocker/core/2022/10/27/3_A_haunted_castle,_with_candles_and_misty_fog,_dramatic_and_atmospheric..jpg","3_A_haunted_castle,_with_candles_and_misty_fog,_dramatic_and_atmospheric..jpg",2022-10-27T23:48:09.181351,1,1,"3_A_haunted_castle,_with_candles_and_misty_fog,_dramatic_and_atmospheric."
184299,/media/s1/dataset/neurostocker/core/2022/12/10/6_A_spaceship_with_the_main_viewscreen_showing_various_images..jpg,6_A_spaceship_with_the_main_viewscreen_showing_various_images..jpg,2022-12-10T22:43:51.076933,1,1,6_A_spaceship_with_the_main_viewscreen_showing_various_images.
88460,/media/s1/dataset/neurostocker/core/2022/12/6/6_An_attractive_picture_of_a_sunset_with_the_moon_in_the_center..jpg,6_An_attractive_picture_of_a_sunset_with_the_moon_in_the_center..jpg,2022-12-06T00:52:52.567571,1,1,6_An_attractive_picture_of_a_sunset_with_the_moon_in_the_center.
73834,/media/s1/dataset/neurostocker/core/2022/12/4/6_A_list_of_100_words_for_you_to_find..jpg,6_A_list_of_100_words_for_you_to_find..jpg,2022-12-04T22:19:22.551432,1,1,6_A_list_of_100_words_for_you_to_find.
204167,"/media/s1/dataset/neurostocker/core/2022/12/13/6_Ancient_japan_in_ruins_of_a_temple,_or_a_modern_japan..jpg","6_Ancient_japan_in_ruins_of_a_temple,_or_a_modern_japan..jpg",2022-12-13T00:08:56.512559,1,1,"6_Ancient_japan_in_ruins_of_a_temple,_or_a_modern_japan."
232556,/media/s1/dataset/neurostocker/core/2022/12/14/6_This_is_a_list_of_different_image_descriptions..jpg,6_This_is_a_list_of_different_image_descriptions..jpg,2022-12-14T00:38:52.709911,1,1,6_This_is_a_list_of_different_image_descriptions.
194197,/media/s1/dataset/neurostocker/core/2022/12/13/6_Different_colours_and_shapes_of_snow_-_not_white..jpg,6_Different_colours_and_shapes_of_snow_-_not_white..jpg,2022-12-13T00:12:34.925904,1,1,6_Different_colours_and_shapes_of_snow_ _not_white.
139072,/media/s1/dataset/neurostocker/core/2022/12/9/6_A_landscape_with_a_house_in_the_background..jpg,6_A_landscape_with_a_house_in_the_background..jpg,2022-12-09T00:43:27.577878,1,1,6_A_landscape_with_a_house_in_the_background.
189371,/media/s1/dataset/neurostocker/core/2022/12/12/6_A_picture_of_several_cars_parked_on_the_side_of_a_road..jpg,6_A_picture_of_several_cars_parked_on_the_side_of_a_road..jpg,2022-12-12T23:54:49.098894,1,1,6_A_picture_of_several_cars_parked_on_the_side_of_a_road.
142669,"/media/s1/dataset/neurostocker/core/2022/12/9/6_This_photo_is_about_minimalist_interior_design_in_minimalist_style,_including_all_the_details_such_as_textiles,_lighting_and_fur.jpg","6_This_photo_is_about_minimalist_interior_design_in_minimalist_style,_including_all_the_details_such_as_textiles,_lighting_and_fur.jpg",2022-12-09T00:47:45.123362,1,1,"6_This_photo_is_about_minimalist_interior_design_in_minimalist_style,_including_all_the_details_such_as_textiles,_lighting_and_fur"
118600,/media/s1/dataset/neurostocker/core/2022/12/7/6_The_tent_of_the_movie_The_Wizard_of_Oz..jpg,6_The_tent_of_the_movie_The_Wizard_of_Oz..jpg,2022-12-07T21:59:09.359053,1,1,6_The_tent_of_the_movie_The_Wizard_of_Oz.
