,id,img_path,img_name,rating
0,1,/media/s1/dataset/neurostocker/core/2022/10/23/3_Beautiful_animation_and_lighting_shots_of_3d_characters_and_creatures..jpg,3_Beautiful_animation_and_lighting_shots_of_3d_characters_and_creatures..jpg,2
1,2,"/media/s1/dataset/neurostocker/core/2022/10/23/3_New_jersey_landscape_landscape_photography,_the_new_jersey_city_skyline_view_from_a_train,_artstation_photo,_the_new_jersey_land.jpg","3_New_jersey_landscape_landscape_photography,_the_new_jersey_city_skyline_view_from_a_train,_artstation_photo,_the_new_jersey_land.jpg",3
2,3,"/media/s1/dataset/neurostocker/core/2022/10/23/3_Hyper_realistic,_3d_real,_8k,_photorealistic,_cinematic_composition,_realistic_3d_city,_octane_render,_art_station,_architecture.jpg","3_Hyper_realistic,_3d_real,_8k,_photorealistic,_cinematic_composition,_realistic_3d_city,_octane_render,_art_station,_architecture.jpg",3
3,4,"/media/s1/dataset/neurostocker/core/2022/10/23/3_The_first_painting_I_did,_a_big_canvas_using_all_the_digital_tools_I_know..jpg","3_The_first_painting_I_did,_a_big_canvas_using_all_the_digital_tools_I_know..jpg",3
4,5,"/media/s1/dataset/neurostocker/core/2022/10/23/3_Landscape_mountain_forest_natural,_natural,_forest,_mountain,_mountain_climbing,_mountain_climbing,_mountains_mountain_peaks,_mo.jpg","3_Landscape_mountain_forest_natural,_natural,_forest,_mountain,_mountain_climbing,_mountain_climbing,_mountains_mountain_peaks,_mo.jpg",2
5,6,"/media/s1/dataset/neurostocker/core/2022/10/23/3_Forest,_trees,_leaves,_clouds,_mountains,_forest,_sunlight,_tree,_fog,_tree..jpg","3_Forest,_trees,_leaves,_clouds,_mountains,_forest,_sunlight,_tree,_fog,_tree..jpg",3
6,7,"/media/s1/dataset/neurostocker/core/2022/10/23/3_Hyper_realistic_glass_city_made_up_of_millions_of_tiny_pieces,_8k,_octane,_unreal_engine_2019,_city_design,..jpg","3_Hyper_realistic_glass_city_made_up_of_millions_of_tiny_pieces,_8k,_octane,_unreal_engine_2019,_city_design,..jpg",3
7,8,"/media/s1/dataset/neurostocker/core/2022/10/23/3_A_mysterious_magical,_haunted_creature,_a_mythical_beast,_a_fairy_and_magic_creature_fantasy,_a_monster,_an_imaginary_creature_d.jpg","3_A_mysterious_magical,_haunted_creature,_a_mythical_beast,_a_fairy_and_magic_creature_fantasy,_a_monster,_an_imaginary_creature_d.jpg",3
8,9,"/media/s1/dataset/neurostocker/core/2022/10/23/3_Castle,_Fantasy_Land,_Filled_with_magic,_dark_fantasy,_high_tech,_a_mysterious..jpg","3_Castle,_Fantasy_Land,_Filled_with_magic,_dark_fantasy,_high_tech,_a_mysterious..jpg",3
9,10,"/media/s1/dataset/neurostocker/core/2022/10/23/3_A_small_village,_ruined_palace,_old_architecture,_atmosphere,_village..jpg","3_A_small_village,_ruined_palace,_old_architecture,_atmosphere,_village..jpg",3
